"ID","NATC","NATC_ID","Type"
1,"Abandoned",2,"No cluster"
2,"Abandoned",2,"No cluster"
3,"Never",1,"Clump"
4,"Never",1,"Clump"
5,"Never",1,"Clump"
6,"Abandoned",2,"No cluster"
7,"Abandoned",2,"No cluster"
8,"Never",1,"Clump"
9,"Abandoned",2,"No cluster"
10,"Continuous",4,"Clump"
11,"Abandoned",2,"No cluster"
12,"Continuous",4,"Clump"
13,"Never",1,"Dispersed"
14,"Never",1,"No cluster"
15,"Never",1,"Dispersed"
16,"Transformed",3,"No cluster"
17,"Abandoned",2,"No cluster"
18,"Transformed",3,"No cluster"
19,"Abandoned",2,"No cluster"
20,"Continuous",4,"Clump"
21,"Transformed",3,"No cluster"
22,"Continuous",4,"Clump"
23,"Abandoned",2,"No cluster"
24,"Never",1,"Dispersed"
25,"Abandoned",2,"No cluster"
26,"Continuous",4,"Clump"
27,"Never",1,"Clump"
28,"Never",1,"Clump"
29,"Abandoned",2,"No cluster"
30,"Continuous",4,"Clump"
31,"Continuous",4,"Clump"
32,"Never",1,"Clump"
33,"Continuous",4,"Clump"
34,"Continuous",4,"Clump"
35,"Continuous",4,"Clump"
36,"Continuous",4,"Clump"
37,"Transformed",3,"No cluster"
38,"Continuous",4,"Cluster"
39,"Abandoned",2,"No cluster"
40,"Continuous",4,"Clump"
41,"Continuous",4,"Cluster"
42,"Never",1,"Clump"
43,"Continuous",4,"Clump"
44,"Abandoned",2,"No cluster"
45,"Never",1,"Clump"
46,"Never",1,"Clump"
47,"Continuous",4,"Cluster"
48,"Never",1,"Clump"
49,"Continuous",4,"Clump"
50,"Never",1,"Clump"
51,"Never",1,"Clump"
52,"Transformed",3,"No cluster"
53,"Transformed",3,"No cluster"
54,"Never",1,"Clump"
55,"Abandoned",2,"No cluster"
56,"Abandoned",2,"No cluster"
57,"Never",1,"Clump"
58,"Never",1,"Clump"
59,"Never",1,"Clump"
60,"Continuous",4,"Clump"
61,"Never",1,"Clump"
62,"Continuous",4,"Clump"
63,"Continuous",4,"Clump"
64,"Abandoned",2,"No cluster"
65,"Continuous",4,"Clump"
66,"Never",1,"Clump"
67,"Never",1,"Clump"
68,"Continuous",4,"Clump"
69,"Abandoned",2,"No cluster"
70,"Abandoned",2,"No cluster"
71,"Abandoned",2,"No cluster"
72,"Abandoned",2,"No cluster"
73,"Abandoned",2,"No cluster"
74,"Transformed",3,"No cluster"
75,"Continuous",4,"Clump"
76,"Never",1,"Clump"
77,"Transformed",3,"No cluster"
78,"Abandoned",2,"No cluster"
79,"Continuous",4,"Cluster"
80,"Continuous",4,"Cluster"
81,"Continuous",4,"Cluster"
82,"Never",1,"Clump"
83,"Never",1,"Clump"
84,"Continuous",4,"Clump"
85,"Never",1,"Clump"
86,"Never",1,"No cluster"
87,"Never",1,"Clump"
88,"Never",1,"Clump"
89,"Never",1,"Clump"
90,"Never",1,"Clump"
91,"Transformed",3,"No cluster"
92,"Never",1,"Clump"
93,"Never",1,"Clump"
94,"Transformed",3,"No cluster"
95,"Continuous",4,"Clump"
96,"Continuous",4,"Clump"
97,"Transformed",3,"No cluster"
98,"Transformed",3,"No cluster"
99,"Abandoned",2,"No cluster"
100,"Never",1,"Clump"
101,"Never",1,"Clump"
102,"Never",1,"No cluster"
103,"Abandoned",2,"No cluster"
104,"Never",1,"Clump"
105,"Never",1,"Clump"
106,"Never",1,"No cluster"
107,"Abandoned",2,"No cluster"
108,"Abandoned",2,"No cluster"
109,"Abandoned",2,"No cluster"
110,"Never",1,"Clump"
112,"Continuous",4,"Cluster"
113,"Abandoned",2,"No cluster"
114,"Never",1,"Clump"
115,"Continuous",4,"Clump"
116,"Never",1,"Clump"
117,"Abandoned",2,"No cluster"
118,"Never",1,"Clump"
119,"Never",1,"Clump"
120,"Never",1,"Clump"
121,"Abandoned",2,"No cluster"
122,"Abandoned",2,"No cluster"
123,"Continuous",4,"Clump"
124,"Never",1,"Clump"
125,"Never",1,"Clump"
126,"Never",1,"Clump"
127,"Transformed",3,"No cluster"
128,"Never",1,"Clump"
129,"Never",1,"Clump"
130,"Never",1,"Clump"
131,"Never",1,"No cluster"
132,"Never",1,"Clump"
133,"Transformed",3,"No cluster"
134,"Continuous",4,"No cluster"
135,"Never",1,"Clump"
136,"Abandoned",2,"No cluster"
137,"Never",1,"Clump"
138,"Never",1,"Clump"
139,"Never",1,"Clump"
140,"Never",1,"Clump"
141,"Never",1,"Clump"
142,"Never",1,"Clump"
143,"Continuous",4,"Clump"
144,"Transformed",3,"No cluster"
145,"Continuous",4,"Clump"
146,"Abandoned",2,"No cluster"
147,"Transformed",3,"No cluster"
148,"Transformed",3,"No cluster"
149,"Never",1,"Clump"
150,"Never",1,"Clump"
151,"Transformed",3,"No cluster"
152,"Never",1,"Clump"
153,"Never",1,"Clump"
154,"Transformed",3,"No cluster"
155,"Never",1,"Clump"
156,"Continuous",4,"Clump"
157,"Transformed",3,"No cluster"
158,"Never",1,"Clump"
159,"Never",1,"Cluster"
160,"Never",1,"Clump"
161,"Never",1,"Clump"
162,"Never",1,"Clump"
163,"Never",1,"Clump"
164,"Never",1,"Cluster"
165,"Never",1,"Clump"
166,"Never",1,"Clump"
167,"Transformed",3,"No cluster"
168,"Never",1,"Clump"
169,"Never",1,"Clump"
170,"Never",1,"Clump"
171,"Never",1,"Clump"
172,"Abandoned",2,"No cluster"
173,"Never",1,"Clump"
174,"Abandoned",2,"No cluster"
175,"Abandoned",2,"No cluster"
176,"Never",1,"Clump"
177,"Never",1,"Clump"
178,"Never",1,"Clump"
179,"Never",1,"Clump"
180,"Continuous",4,"Clump"
181,"Never",1,"Clump"
182,"Never",1,"Clump"
183,"Never",1,"Clump"
184,"Never",1,"Clump"
185,"Never",1,"Clump"
186,"Continuous",4,"Clump"
111,"Never",1,"No cluster"
187,"Never",1,"Clump"
188,"Never",1,"Clump"
189,"Never",1,"Clump"
190,"Never",1,"Clump"
191,"Never",1,"Clump"
192,"Never",1,"Clump"
193,"Never",1,"Clump"
194,"Continuous",4,"Clump"
195,"Never",1,"Clump"
196,"Never",1,"Clump"
200,"Transformed",3,"No cluster"
198,"Abandoned",2,"No cluster"
199,"Transformed",3,"No cluster"
197,"Never",1,"Clump"
201,"Never",1,"Clump"
202,"Continuous",4,"Clump"
203,"Continuous",4,"Cluster"
204,"Never",1,"Clump"
205,"Never",1,"Clump"
206,"Continuous",4,"Clump"
207,"Transformed",3,"No cluster"
